title,IMDb rating,rotten tomatoes,Season2
THE FIX ,6.5,56,no
SINGLE PARENTS,7.1,75,yes
THE ROOKIE,8.1,68,yes
REL ,4.2,44,no
GRAND HOTEL,7,74,no
PROVEN INNOCENT,6.5,28,no
THE KIDS ARE ALRIGHT,7.8,82,no
THE PASSAGE,7.3,62,no
I FEEL BAD,5.9,31,no
CHARMED,4.6,6.7,yes
MANIFEST ,7.2,57,yes
THE COOL KIDS,7,65,no
A MILLION LITTLE THINGS,7.9,53,yes
THE NEIGHBORHOOD,6.3,24,yes
MAGNUM P.I.,5.8,57,yes
ALL AMERICAN,7.7,96,yes
GOD FRIENDED ME,6.9,59,yes
NEW AMSTERDAM,8.1,34,yes
HAPPY TOGETHER,5.8,53,no
WHISKEY CAVALIER ,7.1,78,no
FBI  ,6.8,63,yes
OTER BANKS,7.6,71,yes
CURON,5.7,71,no
MacGyver,7.26,25,yes
The Unicorn,7.5,85,yes
The Baker and the Beauty,7.3,8.6,no
Interrogation,7.4,57,no
Emergence,7.2,94,no
United We Fall,5.9,40,no
Stumptown,7.5,92,no
Evil ,7.6,91,no
PRODIGAL SON,8.2,58,yes
utopia,6.7,51,no
Carol's Second Act,5.7,50,no
Broke,4.6,60,no
Tommy,6.3,68,no
Kate Keene,6.2,91,no
Limetown,6.5,69,no
Almost Family,6.4,24,no
Outmatched,5.7,22,no
Filthy Rich,6,64,no
next,6.7,64,no
Party of Five,5.3,96,no
Run,6.2,80,no
High Fidelity,7.6,86,no
Helstrom,6.8,28,no
Lincoln Rhyme,6.8,36,no
Perfect Harmony,6.7,62,no
Bluff City Law,6.8,36,no
Sunnyside,5,36,no
Council of Dads,6.6,50,no
Soundtrack,6.7,38,no
Spinning Out,7.7,59,no
AJ and the Queen,7.5,52,no
V-Wars,6.1,56,no
October Faction,6.1,29,no
Turn Up Charlie,7.1,52,no
Next in Fashion,7.3,85,no
The Society,7.1,86,no
I Am Not Okay with This,7.6,87,no
Away,6.6,58,no
Queen Sono,5.9,91,no
Ragnarok,7.5,67,yes
For Life,7.6,86,yes
mixed-ish,6.3,80,yes
Tuca & Bertie,7.4,98,yes
Homecoming,7.5,78,yes
Carnival Row,7.9,56,yes
Modern Love,8,75,yes
Hunters,7.2,64,yes
The Wilds,7.2,92,yes
Soulmates,5.5,69,yes
Dickinson,7.3,75,yes
The Morning Show,8.4,61,yes
see,7.6,43,yes
Mythic Quest,7.6,94,yes
Ted Lasso,8.7,90,yes
Central Park,6.7,94,yes
Home Before Dark,7.5,80,yes
